"Sequence",1,2,3,4,5,6,7,8
"I34",0.6238003016531682,-0.18279582435635366,-0.1134203840255,0.04832347169084975,0.013974777806741591,-0.12147792315613426,-0.09043858808734638,0.0012562364621439162
"I35",0.571967230096529,-0.15603318079365366,-0.17360851272148736,0.07919686490973911,-0.12009920245663776,0.23657556505414734,0.06669914149194561,0.12361472786165928
"I36",0.631992188330811,-0.20530500789307254,-0.23128177420503315,-0.0405618190114448,0.04615906200080742,-0.07747351287278975,0.05103484008575924,0.04601951730951645
"I37",0.5977714781067696,-0.16835760139271183,-0.14335023367536592,-0.039567623179655294,-0.17621393212294642,-0.06473108409859865,-0.11060187778745997,0.1301878361359519
"I38",0.6006034973437969,-0.14545824783390995,-0.23931423162403517,0.22185920367881465,0.07653627150469071,0.05000927910944418,0.11290369793056838,-0.08815164754769712
"I39",0.6062378417004503,-0.10030241123002533,-0.0611946018034967,-0.28113124705135745,-0.12900237104263965,0.06219217832720415,0.03901286720507419,-0.19093708784959704
"I40",0.6294854313871845,-0.23573774666318023,-0.22569123854660464,0.07307684274367171,-0.01607507791864175,-0.02065167140958973,-0.10887275801210815,0.001197042957273838
"I41",0.5582500446188823,-0.10492219066509315,-0.15786046960411604,0.024587004668062577,-0.05140113553181939,0.1322816006734216,0.04705535690014734,0.10430023359439167
"I42",0.6215700344833476,-0.18377468319506957,-0.17789114634184397,-0.059521583883036716,0.1209047433734778,-0.02228335385097968,0.08598748934901156,0.026200429570445962
"I43",0.6244162353845003,-0.19625012419002946,-0.1610519540191137,-0.023758213170455844,-0.16202896691543858,-0.07532460170212806,-0.08341971715109156,0.14905630053204294
"I44",0.5940303383540864,-0.13354159932263604,-0.25098585203651663,0.17966183718972037,0.1059049198907042,0.02886473608433768,0.145259923878524,-0.11355722341830979
"I45",0.5952941988045517,-0.10341833918815711,-0.09264324399525821,-0.29223021359540446,-0.02209449791119101,0.0037795830188450262,0.10381756250752748,-0.21002468587560483
"I46",0.6030154953090974,-0.24879363141812347,-0.14910357185263484,0.06629552408638954,-0.056225333364381506,-0.03128739823076671,-0.17307119848497704,-0.017958647206771015
"I47",0.5810891882099435,-0.13821975434663386,-0.18677981360987445,0.022308703051178155,-0.1410585253621932,0.1816142223040918,0.09267868542448565,0.1401432323170026
"I48",0.6391593328021491,-0.1846438741385207,-0.22687505137762562,-0.0523587695692992,0.12134046915759324,-0.15464274735183206,0.07009061264104201,0.06249600745764079
"I49",0.6075215729560067,-0.18905935855583328,-0.15785092076877053,-0.13602205411994692,-0.2136056870214612,-0.10231948425668105,-0.17888639536958956,0.1870377009719586
